Series,Release,Game,Platform,Done
,1992,Snatcher,Sega CD,Yes
,1992,R-Type Leo,Arcade,Yes
,1994,Policenauts,Sony PS1,Yes
,1994,Puzzle Bobble,Arcade,Yes
,1996,Red Earth,Arcade,Yes
,1998,Jade Cocoon: Story of the Tamamayu,Sony PS1,Yes
,1999,Planescape: Torment,Microsoft Windows,Yes
,2007,Super Stardust Delta,Sony PSV,Yes
,2010,Super Meat Boy,Sony PSV,Yes
,2012,Cave Story,Nintendo 3DS,
,2012,Fez,Sony PSV,
,2016,Hyper Light Drifter,Nintendo Switch,
,2017,Battle Chasers: Nightwar,Microsoft Windows,Yes
,2017,Cuphead,Nintendo Switch,
,2017,Dead Cells,Nintendo Switch,
,2017,Fight'N Rage,Nintendo Switch,
,2018,Celeste,Nintendo Switch,
,2018,Chasm,Sony PSV,
,2018,Dandara,Nintendo Switch,
,2018,Into The Breach,Nintendo Switch,
,2018,Radiant Historia: Perfect Chronology,Nintendo 3DS,Yes
,2019,Astral Chain,Nintendo Switch,
,2019,Blasphemous,Nintendo Switch,
,2019,Control,Microsoft Windows,
,2019,Disco Elysium,Microsoft Windows,Yes
,2019,Indivisible,Nintendo Switch,
,2019,Katana Zero,Nintendo Switch,
,2019,Micro Mages,Nintendo NES,
,2019,Monster Sanctuary,Nintendo Switch,
,2019,WarGroove,Nintendo Switch,
,2019,Xeno Crisis,Sega Genesis,
,2020,Cyber Shadow,Nintendo Switch,
,2020,Ghostrunner,Microsoft Windows,
,2020,Hades,Nintendo Switch,
,2020,Helltaker,Sony PSV,Yes
,2020,Panzer Paladin,Nintendo Switch,
,2020,ScourgeBringer,Sony PSV,
,2021,Flynn Son of Crimson,Nintendo Switch,
,2021,Rising Hell,Nintendo Switch,
,2021,Steel Assault,Nintendo Switch,
,2021,Unsighted,Nintendo Switch,
,2022,Chained Echoes,Nintendo Switch,
,2022,Jack Move,Nintendo Switch,
,2022,Moonscars,Nintendo Switch,
,2022,Triangle Strategy,Nintendo Switch,
,2023,Lunark,Nintendo Switch,
Ace Attorney,2001,Phoenix Wright: Ace Attorney,Nintendo 3DS,Yes
Ace Attorney,2002,Phoenix Wright: Ace Attorney Justice for All,Nintendo 3DS,Yes
Ace Attorney,2004,Phoenix Wright: Ace Attorney Trials and Tribulations,Nintendo 3DS,Yes
Ace Attorney,2007,Apollo Justice: Ace Attorney,Nintendo 3DS,Yes
Ace Attorney,2009,Ace Attorney Investigations: Miles Edgeworth,Nintendo DS,Yes
Ace Attorney,2011,Ace Attorney Investigations 2: Prosecutor's Path,Nintendo DS,Yes
Ace Attorney,2013,Phoenix Wright: Ace Attorney Dual Destinies,Nintendo 3DS,
Ace Attorney,2016,Phoenix Wright: Ace Attorney Spirit of Justice,Nintendo 3DS,
Ace Attorney Spin-Off,2015,The Great Ace Attorney: Adventures,Nintendo Switch,
Ace Attorney Spin-Off,2017,The Great Ace Attorney: Resolve,Nintendo Switch,
Ace Combat,2019,Ace Combat 7,Microsoft Windows,Yes
Alien,1994,Alien vs Predator,Arcade,Yes
Alien,2014,Alien: Isolation,Microsoft Windows,
Axiom Verge,2015,Axiom Verge,Nintendo Switch,
Axiom Verge,2021,Axiom Verge 2,Nintendo Switch,
Batman,2015,Batman: Arkham Knight,Microsoft Windows,Yes
Bayonetta,2009,Bayonetta,Nintendo Switch,
Bayonetta,2014,Bayonetta 2,Nintendo Switch,
Bayonetta,2022,Bayonetta 3,Nintendo Switch,
Bayonetta,2023,Bayonetta Origins: Cereza and the Lost Demon,Nintendo Switch,
Bioshock,2013,Bioshock Infinite,Microsoft Windows,Yes
Bloodstained,2018,Bloodstained: Curse Of The Moon,Nintendo 3DS,
Bloodstained,2019,Bloodstained: Ritual of the Night,Microsoft Windows,Yes
Bloodstained,2020,Bloodstained Curse of the Moon 2,Nintendo Switch,
Bravely,2014,Bravely Default,Nintendo 3DS,Yes
Bravely,2016,Bravely Second: End Layer,Nintendo 3DS,Yes
Bravely,2021,Bravely Default II,Nintendo Switch,
Breath of Fire,1997,Breath of Fire III,Sony PS1,
Breath of Fire,2000,Breath of Fire IV,Sony PS1,
Castlevania,1986hd,Super Castlevania,Nintendo SNES,
Castlevania,1987,Castlevania: Simon's Quest,Nintendo NES,
Castlevania,1989,Castlevania: Dracula's Curse,Nintendo NES,Yes
Castlevania,1993,Castlevania: Rondo of Blood,NEC TurboGrafxCD,Yes
Castlevania,1994,Castlevania: Bloodlines,Sega Genesis,
Castlevania,1997,Castlevania: Symphony of the Night,Sony PS1,Yes
