,2017,Cuphead,Nintendo Switch,
,2022,Jack Move,Nintendo Switch,
,2022,Triangle Strategy,Nintendo Switch,
,2023,Sea of Stars,Nintendo Switch,
Blasphemous,2019,Blasphemous,Nintendo Switch,
Blasphemous,2023,Blasphemous 2,Nintendo Switch,
Bravely,2021,Bravely Default 2,Nintendo Switch,
Octopath,2018,Octopath Traveler,Nintendo Switch,
Octopath,2023,Octopath Traveler 2,Nintendo Switch,
Pokemon,2022,Pokemon Legends: Arceus,Nintendo Switch,
Pokemon,2022,Pokemon Scarlet,Nintendo Switch,
Prince of Persia,2024,Prince of Persia: The Lost Crown,Nintendo Switch,
Vanillaware,2024,Unicorn Overlord,Nintendo Switch,
