Series,Release,Game,Platform,Done
,2012,Cave Story,Nintendo 3DS,
,2012,Fez,Sony PSV,
,2018,Chasm,Sony PSV,
,2019,Control,Microsoft Windows,
,2020,Ghostrunner,Microsoft Windows,
,2020,ScourgeBringer,Sony PSV,
Alien,1994,Alien vs Predator,Arcade,Yes
Alien,2011,Aliens: Infestation,Nintendo DS,
Alien,2014,Alien: Isolation,Microsoft Windows,
Bloodstained,2018,Bloodstained: Curse Of The Moon,Nintendo 3DS,
Bloodstained,2019,Bloodstained: Ritual of the Night,Microsoft Windows,Yes
Breath of Fire,1997,Breath of Fire 3,Sony PS1,
Castlevania,1986[hd],Super Castlevania,Nintendo SNES,
Castlevania,1987,Castlevania: Simon's Quest,Nintendo NES,
Castlevania,1989,Castlevania: Dracula's Curse,Nintendo NES,Yes
Castlevania,1993,Castlevania: Rondo of Blood,NEC TurboGrafxCD,Yes
Castlevania,1994,Castlevania: Bloodlines,Sega Genesis,
Darksiders,2010,Darksiders,Microsoft Windows,Yes
Darksiders,2012,Darksiders 2,Microsoft Windows,Yes
Darksiders,2018,Darksiders 3,Microsoft Windows,
Darksiders,2019,Darksiders Genesis,Microsoft Windows,
Deus Ex,2016,Deus Ex: Mankind Divided,Microsoft Windows,Yes
Devil May Cry,2019,Devil May Cry 5,Microsoft Windows,
Diablo,1996,Diablo,Sony PS1,Yes
Disgaea Spin-Off,2004,La Pucelle Ragnarok,Sony PSP,
Disgaea Spin-Off,2004,Phantom Brave,Sony PSP,
Disgaea Spin-Off,2005,Phantom Kingdom,Sony PSP,
Disgaea,2013,Disgaea D2: A Brighter Darkness,Sony PS3,
Donkey Kong,2010,Donkey Kong Country Returns,Nintendo 3DS,
Dragon Ball,2004,Dragon Ball: Advanced Adventure,Nintendo GBA,
Dragon Ball,2008,Dragon Ball Z: Attack of the Saiyans,Nintendo DS,
Dragon Ball,2009,Dragon Ball: Origins,Nintendo DS,
Dragon Ball,2010,Dragon Ball: Origins 2,Nintendo DS,
Final Fantasy Spin-Off,2000,Vagrant Story,Sony PS1,
Final Fantasy Spin-Off,2009,Final Fantasy: The 4 Heroes of Light,Nintendo DS,
Final Fantasy,1990[hd],Final Fantasy 3,Nintendo DS,Yes
Final Fantasy,1991[hd],Final Fantasy 4,Nintendo DS,Yes
Final Fantasy,1994,Final Fantasy 6,Nintendo GBA,
Final Fantasy,2001,Final Fantasy 10,Sony PSV,
Final Fantasy,2003,Final Fantasy 10-2,Sony PSV,
Fire Emblem,1990[hd],Fire Emblem: Shadow Dragon,Nintendo DS,
Fire Emblem,1992[hd],Fire Emblem Echoes: Shadows of Valentia,Nintendo 3DS,
Fire Emblem,1994[hd],Fire Emblem: New Mystery of the Emblem,Nintendo DS,
Fire Emblem,1996,Fire Emblem: Genealogy of the Holy War,Nintendo SNES,
Fire Emblem,1999,Fire Emblem: Thracia 776,Nintendo SNES,
Fire Emblem,2002,Fire Emblem: The Binding Blade,Nintendo GBA,
Fire Emblem,2003,Fire Emblem: The Blazing Blade,Nintendo GBA,
Fire Emblem,2004,Fire Emblem: The Sacred Stones,Nintendo GBA,
Forgotten Realms,1994,D&D Tower of Doom,Arcade,Yes
Forgotten Realms,1996,D&D Shadow over Mystara,Arcade,Yes
God of War,2010,God of War 3,Sony PS3,Yes
God of War,2013,God of War: Ascension,Sony PS3,Yes
Mario,1985[hd],Super Mario Bros,Nintendo SNES,
Mario,1986[hd],Super Mario Bros Lost Levels,Nintendo SNES,
Mario,1988[hd],Super Mario Bros 2,Nintendo SNES,
Mario,1988[hd],Super Mario Bros 3,Nintendo SNES,
Mario,1990,Super Mario World,Nintendo SNES,
Mario,1996,Super Mario 64,Nintendo DS,
Mario,2005,Super Princess Peach,Nintendo DS,
Mario,2006,New Super Mario Bros,Nintendo DS,
Mario,2011,Super Mario 3D Land,Nintendo 3DS,Yes
Mario,2012,New Super Mario Bros 2,Nintendo 3DS,
Metal Gear,1998,Metal Gear Solid,Sony PS1,Yes
Metal Gear,2001,Metal Gear Solid 2: Sons of Liberty,Sony PSV,Yes
Metal Gear,2004,Metal Gear Solid 3: Snake Eater,Sony PSV,Yes
Metal Gear,2008,Metal Gear Solid 4: Guns of the Patriots,Sony PS3,Yes
Metal Gear,2010,Metal Gear Solid: Peace Walker,Sony PSP,Yes
Metal Gear,2013,Metal Gear Rising: Revengeance,Microsoft Windows,Yes
Metal Gear,2014,Metal Gear Solid: Ground Zeroes,Microsoft Windows,Yes
Metal Gear,2015,Metal Gear Solid 5: The Phantom Pain,Microsoft Windows,Yes
Mighty,2011,Mighty Switch Force,Nintendo 3DS,
Mighty,2013,Mighty Switch Force 2,Nintendo 3DS,
Monster Hunter Spin-Off,2016,Monster Hunter Stories,Nintendo 3DS,Yes
Monster Hunter Spin-Off,2021,Monster Hunter Stories 2: Wings of Ruin,Microsoft Windows,
Okami,2010,Ōkamiden,Nintendo DS,
Parasite Eve,1998,Parasite Eve,Sony PS1,
Parasite Eve,1999,Parasite Eve 2,Sony PS1,
Parasite Eve,2010,The 3rd Birthday,Sony PSP,
Persona,1996,Persona,Sony PSP,
Persona,1999,Persona 2: Innocent Sin,Sony PSP,
Persona,2000,Persona 2: Eternal Punishment,Sony PSP,
Project X Zone,2012,Project X Zone,Nintendo 3DS,
Project X Zone,2015,Project X Zone 2,Nintendo 3DS,
Shin Megami Tensei Spin-Off,1994,Shin Megami Tensei If,Nintendo SNES,
Shin Megami Tensei Spin-Off,2009,Shin Megami Tensei: Devil Survivor Overclocked,Nintendo 3DS,
Shin Megami Tensei Spin-Off,2011,Shin Megami Tensei: Devil Survivor 2 Record Breaker,Nintendo 3DS,
Shin Megami Tensei,1987,Digital Devil Story: Megami Tensei,Nintendo SNES,
Shin Megami Tensei,1990,Digital Devil Story: Megami Tensei 2,Nintendo SNES,
Shin Megami Tensei,1992,Shin Megami Tensei,Nintendo SNES,
Shin Megami Tensei,1994,Shin Megami Tensei 2,Nintendo SNES,
