Series,Release,Game,Platform,Done
,1991,Metal Slader Glory,Nintendo SNES,
,1992,Snatcher,Sega CD,Yes
,1994,Policenauts,Sony PS1,Yes
Breath of Fire,2000,Breath of Fire 4,Sony PS1,
Castlevania,1997,Castlevania: Symphony of the Night,Sony PS1,Yes
Final Fantasy,1997,Final Fantasy Tactics,Sony PS1,
Final Fantasy,2000,Vagrant Story,Sony PS1,
Metroid,1986,Metroid: Zero Mission,Nintendo GBA,Yes
Metroid,1994,Super Metroid,Nintendo SNES,Yes
Metroid,2002,Metroid Fusion,Nintendo GBA,Yes
Parasite Eve,1998,Parasite Eve,Sony PS1,
Parasite Eve,1999,Parasite Eve II,Sony PS1,
Parasite Eve,2010,The 3rd Birthday,Sony PSP,
Pokemon,2002,Pokemon Emerald,Nintendo GBA,Yes
Shadow Hearts,1999,Koudelka,Sony PS1,
Shadow Hearts,1999,Shadow Hearts: Covenant,Sony PS2,
Shadow Hearts,2001,Shadow Hearts,Sony PS2,
Valkyrie Profile,1999,Valkyrie Profile,Sony PS1,Yes
Xeno,1998,Xenogears,Sony PS1,Yes
Xeno,2002,Xenosaga Episode 1,Sony PS2,
Xeno,2004,Xenosaga Episode 2,Sony PS2,
Xeno,2006,Xenosaga Episode 3,Sony PS2,
Zone of the Enders,2001,Zone of the Enders,Sony PS2,
Zone of the Enders,2003,Zone of the Enders: The 2nd Runner,Sony PS2,
