appid,game,buildid
1462040,Final Fantasy 7 Remake,16791625
2909400,Final Fantasy 7 Rebirth,20553787
1086940,Baldur's Gate 3,20095056
1113560,Nier Replicant,7396468
524220,Nier Automata,7020666
1817070,Spider-Man,14752622
814380,Sekiro,5794815
1245620,Elden Ring,15950357
740130,Tales of Arise,12823607
653530,Return of the Obra Dinn,9550393
632470,Disco Elysium,15656947
1062110,Unsighted,7990170
610370,Desperados 3,6101019
595520,Final Fantasy 12,4484113
367520,Hollow Knight,7442300
1276790,Ruined King,10797578
418240,Shadow Tactics: Blades of the Shogun,8181738
1579380,Shadow Tactics: Aiko's Choice,7824197
985890,Streets of Rage 4,10813006
