Series,Release,Game,Platform,Done
,2010,Ghost Trick: Phantom Detective,Nintendo DS,
,2016,Hyper Light Drifter,Nintendo Switch,
,2017,Dead Cells,Nintendo Switch,
,2018,Celeste,Nintendo Switch,
,2018,Dandara,Nintendo Switch,
,2018,Into The Breach,Nintendo Switch,
,2019,Indivisible,Nintendo Switch,
,2019,Katana Zero,Nintendo Switch,
,2019,Monster Sanctuary,Nintendo Switch,
,2020,Cyber Shadow,Nintendo Switch,
,2020,Panzer Paladin,Nintendo Switch,
,2021,Flynn Son of Crimson,Nintendo Switch,
,2021,Rising Hell,Nintendo Switch,
,2022,Chained Echoes,Nintendo Switch,
,2023,Lunark,Nintendo Switch,
Ace Combat,2019,Ace Combat 7,Microsoft Windows,Yes
Bioshock,2013,Bioshock Infinite,Microsoft Windows,Yes
Bloodstained,2020,Bloodstained: Curse of the Moon 2,Nintendo Switch,
Dead or Alive,2019,Dead or Alive 6,Microsoft Windows,Yes
Desperados,2020,Desperados 3,Microsoft Windows,
Donkey Kong,2014,Donkey Kong Country: Tropical Freeze,Nintendo Switch,
Dragon Age,2009,Dragon Age: Origins,Microsoft Windows,Yes
Dragon Age,2011,Dragon Age 2,Microsoft Windows,Yes
Dragon Age,2014,Dragon Age: Inquisition,Microsoft Windows,
Dungeon & Fighter,2022,DNF Duel,Microsoft Windows,Yes
Fire Emblem,2005,Fire Emblem: Path of Radiance,Nintendo Gamecube,
Fire Emblem,2007,Fire Emblem: Radiant Dawn,Nintendo Wii,
Hotel Dusk,2007,Hotel Dusk: Room 215,Nintendo DS,Yes
Hotel Dusk,2010,Last Window: The Secret of Cape West,Nintendo DS,
Hotel Dusk,2016,Chase: Cold Case Investigations,Nintendo 3DS,
Mario,2002,Super Mario Sunshine,Nintendo Gamecube,
Mario,2007,Super Mario Galaxy,Nintendo Wii,
Mario,2010,Super Mario Galaxy 2,Nintendo Wii,
Mario,2012,New Super Mario Bros U,Nintendo Switch,
Mario,2013,Super Mario 3D World & Bowser's Fury,Nintendo Switch,
Mario,2017,Super Mario Odyssey,Nintendo Switch,
Marvel,2000,Marvel vs Capcom 2,Sega Dreamcast,Yes
Mass Effect,2007,Mass Effect,Microsoft Windows,Yes
Mass Effect,2010,Mass Effect 2,Microsoft Windows,Yes
Mass Effect,2012,Mass Effect 3,Microsoft Windows,Yes
Mass Effect,2017,Mass Effect: Andromeda,Microsoft Windows,
Okami,2007,Ōkami,Nintendo Switch,
Project X Zone,2012,Project X Zone,Nintendo 3DS,
Project X Zone,2015,Project X Zone 2,Nintendo 3DS,
Red Dead,2010,Red Dead Redemption,Sony PS3,Yes
Red Dead,2018,Red Dead Redemption 2,Microsoft Windows,
Resident Evil,1996[hd],Resident Evil,Microsoft Windows,Yes
Resident Evil,2000,Resident Evil: Code Veronica,Sega Dreamcast,
Resident Evil,2002,Resident Evil Zero,Microsoft Windows,
Resident Evil,2005[hd],Resident Evil 4,Microsoft Windows,
Resident Evil,2009,Resident Evil 5,Microsoft Windows,
Resident Evil,2012,Resident Evil 6,Microsoft Windows,
Resident Evil,2015,Resident Evil: Revelations 2,Microsoft Windows,
Resident Evil,2017,Resident Evil 7: Biohazard,Microsoft Windows,
Resident Evil,2021,Resident Evil Village,Microsoft Windows,
Shin Megami Tensei Spin-Off,2015,Tokyo Mirage Sessions FE Encore,Nintendo Switch,
Shin Megami Tensei Spin-Off,2022,Soul Hackers 2,Microsoft Windows,
Shovel Knight,2019,Shovel Knight Showdown,Nintendo Switch,Yes
Shovel Knight,2021,Shovel Knight Pocket Dungeon,Nintendo Switch,
Shovel Knight,2022,Shovel Knight Dig,Nintendo Switch,
Sonic,1998,Sonic Adventure,Sega Dreamcast,
Sonic,2001,Sonic Adventure 2,Sega Dreamcast,
Soulcalibur,2018,SoulCalibur 6,Microsoft Windows,Yes
Street Fighter Spin-Off,2001,Capcom vs SNK 2,Sega Dreamcast,Yes
Street Fighter,2008,Street Fighter 4,Microsoft Windows,Yes
Super Robot Wars,2008,Endless Frontier,Nintendo DS,Yes
Super Robot Wars,2010,Endless Frontier Exceed,Nintendo DS,
Tekken,2015,Tekken 7,Microsoft Windows,Yes
Tenchu,1998,Tenchu: Stealth Assassins,Sony PS1,Yes
Tenchu,2000,Tenchu 2: Birth of the Stealth Assassins,Sony PS1,Yes
Tenchu,2003,Tenchu 3: Wrath of Heaven,Sony PSP,
Tenchu,2004,Tenchu: Fatal Shadows,Sony PSP,
Tenchu,2005,Tenchu: Time of the Assassins,Sony PSP,Yes
Tenchu,2008,Tenchu: Shadow Assassins,Sony PSP,
Valkyrie Profile,2006,Valkyrie Profile 2,Sony PS2,
Valkyrie Profile,2022,Valkyrie Elysium,Microsoft Windows,
Vanillaware,2019,13 Sentinels: Aegis Rim,Nintendo Switch,
Witcher,2007[hd],The Witcher,Microsoft Windows,Yes
Witcher,2011,The Witcher 2: Assassins of Kings,Microsoft Windows,Yes
Xeno,2002,Xenosaga,Sony PS2,
Xeno,2004,Xenosaga 2,Sony PS2,
Xeno,2006,Xenosaga 3,Sony PS2,
