Series,Release,Game,Platform,Done
,1991,Metal Slader Glory,Nintendo SNES,Yes
,1992,Snatcher,Sega CD,Yes
,1994,Policenauts,Sony PS1,Yes
Breath of Fire,2000,Breath of Fire 4,Sony PS1,
Castlevania,1997,Castlevania: Symphony of the Night,Sony PS1,Yes
Final Fantasy,1997,Final Fantasy Tactics,Sony PS1,Yes
Final Fantasy,2000,Vagrant Story,Sony PS1,
Metroid,1986,Metroid: Zero Mission,Nintendo GBA,Yes
Metroid,1994,Super Metroid,Nintendo SNES,Yes
Metroid,2002,Metroid Fusion,Nintendo GBA,Yes
Pokemon,2002,Pokemon Emerald,Nintendo GBA,Yes
TMNT,1993,TMNT: Radical Rescue,Nintendo GB,Yes
Valkyrie Profile,1999,Valkyrie Profile,Sony PS1,Yes
Xeno,1998,Xenogears,Sony PS1,Yes
Zelda,1993,Zelda: Link's Awakening,Nintendo GBC,Yes
